Bias,Winner,Latency_us,Delta_us,Confidence
0.00,1,1000,4,1.0000
0.00,1,1000,2,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,2,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,2,1.0000
0.00,1,1000,4,1.0000
0.00,0,1000,0,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,2,1.0000
0.00,0,1000,0,1.0000
0.00,1,1000,1,1.0000
0.00,0,1000,0,1.0000
0.00,0,1000,0,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,2,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,3,1.0000
0.00,0,1000,0,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,2,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,2,1.0000
0.00,1,1000,2,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,4,1.0000
0.00,0,1000,0,1.0000
0.00,0,1000,0,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,1,1.0000
0.00,1,1000,2,1.0000
0.00,1,1000,4,1.0000
0.00,0,1000,0,1.0000
0.00,1,1000,2,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,3,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,2,1.0000
0.00,1,1000,4,1.0000
0.00,1,1000,4,1.0000
0.00,0,1000,0,1.0000
